"UMI_transID","UMI_cellID","target","CellId","pixel_x","pixel_y","idx_z","x","y","z","tLLR_maxCellType","score_tLLR_maxCellType","DecVal","SVM_class","SVM_cell_type"
"t_1_2_84018","c_1_2_2733","IGHG1",2733,809.5374,2532.312,0,226.716732,-3156.81616,0,"e",-1.41781878175266,1.01916698849233,"1","e"
"t_1_2_84019","c_1_2_2733","HLA-B",2733,831.16,2532.2,0,230.6088,-3156.796,0,"e",-1.31591637617107,1.00266612727102,"1","e"
"t_1_2_84023","c_1_2_2733","S100A6",2733,801.2667,2532.7,0,225.228006,-3156.886,0,"e",-2.21418061794464,0.960841763986326,"1","e"
"t_1_2_84030","c_1_2_2733","HLA-C",2733,839.05,2533.15,0,232.029,-3156.967,0,"e",-1.19147033105972,1.0298772004486,"1","e"
"t_1_2_84033","c_1_2_2733","B2M",2733,771.0555,2533.256,0,219.78999,-3156.98608,0,"e",-0.760298361278963,0.66805392160659,"1","e"
"t_1_2_84034","c_1_2_2733","GDF15",2733,777.0667,2533.467,0,220.872006,-3157.02406,0,"e",-1.32179752492347,1.02338112392347,"1","e"
"t_1_2_84039","c_1_2_2733","MALAT1",2733,808.96,2533.92,0,226.6128,-3157.1056,0,"e",-0.470154514681536,1.0071664582136,"1","e"
"t_1_2_84042","c_1_2_2733","GDF15",2733,777.5833,2534.167,0,220.964994,-3157.15006,0,"e",-1.32179752492347,1.02231659782371,"1","e"
"t_1_2_84044","c_1_2_2733","RPL34",2733,772.9144,2534.971,0,220.124592,-3157.29478,0,"e",-0.638727105184303,0.775311850282225,"1","e"
"t_1_2_84050","c_1_2_2733","B2M",2733,837.18,2535.48,0,231.6924,-3157.3864,0,"e",-0.760298361278963,1.0039026899419,"1","e"
"t_1_2_84053","c_1_2_2733","LGALS3",2733,880.7601,2535.78,0,239.536818,-3157.4404,0,"e",-0.133872654578574,1.00031499924737,"1","e"
"t_1_2_84054","c_1_2_2733","B2M",2733,821.8715,2536.129,0,228.93687,-3157.50322,0,"e",-0.760298361278963,1.03901583659241,"1","e"
"t_1_2_84055","c_1_2_2733","IFNL3",2733,826.7444,2536.1,0,229.813992,-3157.498,0,"e",-0.686117198913397,1.06869658799648,"1","e"
"t_1_2_84057","c_1_2_2733","MZT2A",2733,779.35,2536.3,0,221.283,-3157.534,0,"e",-1.39001825857841,1.00021121346483,"1","e"
"t_1_2_84063","c_1_2_2733","VIM",2733,791.68,2536.6,0,223.5024,-3157.588,0,"e",-2.21720275503733,0.887995212241804,"1","e"
"t_1_2_84064","c_1_2_2733","B2M",2733,794.9,2536.762,0,224.082,-3157.61716,0,"e",-0.760298361278963,1.00004852269397,"1","e"
"t_1_2_84069","c_1_2_2733","MALAT1",2733,817.7166,2537.692,0,228.188988,-3157.78456,0,"e",-0.470154514681536,1.00006950050902,"1","e"
"t_1_2_84078","c_1_2_2733","FN1",2733,884.2143,2539.115,0,240.158574,-3158.0407,0,"e",-0.554819473281333,1.2809168307001,"1","e"
"t_1_2_84079","c_1_2_2733","DUSP4",2733,825.8666,2539.356,0,229.655988,-3158.08408,0,"e",0,1.21763240974027,"1","e"
"t_1_2_84080","c_1_2_2733","IL1B",2733,836.9,2539.12,0,231.642,-3158.0416,0,"e",0,0.983526640913087,"1","e"
"t_1_2_84081","c_1_2_2733","RPL34",2733,872.1818,2539.218,0,237.992724,-3158.05924,0,"e",-0.638727105184303,1.09364208271357,"1","e"
"t_1_2_84083","c_1_2_2733","B2M",2733,784.2401,2539.52,0,222.163218,-3158.1136,0,"e",-0.760298361278963,1.00332490960597,"1","e"
"t_1_2_84084","c_1_2_2733","B2M",2733,785.7166,2539.517,0,222.428988,-3158.11306,0,"e",-0.760298361278963,1.00000049250405,"1","e"
